text	facts	question	label
Mia is the tallest. Mia is taller than Suzie. Marsellus is taller than John. Suzie is shorter than Marsellus.	"taller(Mia,Suzie)
taller(Marsellus,John)
shorter(Suzie,Marsellus)
tallest(Mia)"	Is Mia the tallest ?	yes
John is shorter than Suzie. Mia is taller than Suzie. Marsellus is taller than John. Suzie is shorter than Marsellus.	"shorter(John,Suzie)
taller(Mia,Suzie)
taller(Marsellus,John)
shorter(Suzie,Marsellus)"	Is John the shortest ?	yes
John is shorter than Suzie. Mia is the tallest. Marsellus is taller than John. Suzie is shorter than Marsellus.	"shorter(John,Suzie)
taller(Marsellus,John)
shorter(Suzie,Marsellus)
tallest(Mia)"	Is Mia the tallest ?	yes
John is shorter than Suzie. Mia is the tallest. Mia is taller than Suzie. Suzie is shorter than Marsellus.	"shorter(John,Suzie)
taller(Mia,Suzie)
shorter(Suzie,Marsellus)
tallest(Mia)"	Is Mia the tallest ?	yes
John is shorter than Suzie. Mia is the tallest. Mia is taller than Suzie. Marsellus is taller than John.	"shorter(John,Suzie)
taller(Mia,Suzie)
taller(Marsellus,John)
tallest(Mia)"	Is Mia the tallest ?	yes
Tadeo is shorter than Mateo. Manuella is taller than Mateo. Teo is taller than Mateo. Manuella is shorter than Teo. Malvina is the shortest.	"taller(Teo,Mateo)
taller(Manuella,Mateo)
shorter(Tadeo,Mateo)
shortest(Malvina)
shorter(Manuella,Teo)"	Is Malvina the shortest ?	yes
Malvina is shorter than Mateo. Manuella is taller than Mateo. Teo is taller than Mateo. Manuella is shorter than Teo. Tadeo is shorter than Manuella. Malvina is the shortest.	"shorter(Tadeo,Manuella)
taller(Teo,Mateo)
taller(Manuella,Mateo)
shorter(Malvina,Mateo)
shortest(Malvina)
shorter(Manuella,Teo)"	Is Malvina the shortest ?	yes
Malvina is shorter than Mateo. Tadeo is shorter than Mateo. Teo is taller than Mateo. Manuella is shorter than Teo. Malvina is the shortest.	"taller(Teo,Mateo)
shorter(Tadeo,Mateo)
shorter(Malvina,Mateo)
shortest(Malvina)
shorter(Manuella,Teo)"	Is Malvina the shortest ?	yes
Malvina is shorter than Mateo. Tadeo is shorter than Mateo. Manuella is taller than Mateo. Manuella is shorter than Teo. Malvina is the shortest.	"taller(Manuella,Mateo)
shorter(Tadeo,Mateo)
shorter(Malvina,Mateo)
shortest(Malvina)
shorter(Manuella,Teo)"	Is Malvina the shortest ?	yes
Malvina is shorter than Mateo. Tadeo is shorter than Mateo. Manuella is taller than Mateo. Teo is taller than Mateo. Malvina is the shortest.	"taller(Teo,Mateo)
taller(Manuella,Mateo)
shorter(Tadeo,Mateo)
shorter(Malvina,Mateo)
shortest(Malvina)"	Is Malvina the shortest ?	yes
Malvina is shorter than Mateo. Tadeo is shorter than Mateo. Manuella is taller than Mateo. Teo is taller than Mateo. Manuella is shorter than Teo.	"taller(Teo,Mateo)
taller(Manuella,Mateo)
shorter(Tadeo,Mateo)
shorter(Malvina,Mateo)
shorter(Manuella,Teo)"	Is Teo the tallest ?	yes
Gopal is taller than Kunal. Navin is shorter than Kunal. Jayesh is taller than Gopal.  Ashok is taller than Jayesh. Navin is the shortest.	"taller(Ashok,Jayesh)
taller(Jayesh,Gopal)
taller(Gopal,Kunal)
shorter(Navin,Kunal)
shortest(Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok. Navin is shorter than Kunal. Jayesh is taller than Gopal.  Ashok is taller than Jayesh. Kunal is shorter than Jayesh. Navin is the shortest.	"shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Jayesh,Gopal)
shorter(Kunal,Jayesh)
shorter(Navin,Kunal)
shortest(Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok. Navin is shorter than Kunal. Jayesh is taller than Gopal.  Ashok is taller than Jayesh. Navin is the shortest.	"shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Jayesh,Gopal)
shorter(Navin,Kunal)
shortest(Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok. Gopal is taller than Kunal. Jayesh is taller than Gopal.  Ashok is taller than Jayesh. Navin is the shortest.	"shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Jayesh,Gopal)
taller(Gopal,Kunal)
shortest(Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok. Gopal is taller than Kunal. Navin is shorter than Kunal. Ashok is taller than Jayesh. Navin is the shortest.	"shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Gopal,Kunal)
shorter(Navin,Kunal)
shortest(Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok. Gopal is taller than Kunal. Navin is shorter than Kunal. Jayesh is taller than Gopal. Navin is the shortest.	"shorter(Gopal,Ashok)
taller(Jayesh,Gopal)
taller(Gopal,Kunal)
shorter(Navin,Kunal)
shortest(Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok. Gopal is taller than Kunal. Navin is shorter than Kunal. Jayesh is taller than Gopal.  Ashok is taller than Jayesh.	"shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Jayesh,Gopal)
taller(Gopal,Kunal)
shorter(Navin,Kunal)"	Is Navin the shortest ?	yes
Diana is taller than Maria. Maria is the shortest.	"taller(Diana,Maria)
shortest(Maria)"	Is Maria the shortest ?	yes
Tom is taller than Diana. Maria is the shortest.	"taller(Tom,Diana)
shortest(Maria)"	Is Maria the shortest ?	yes
Tom is taller than Diana. Diana is taller than Maria.	"taller(Diana,Maria)
taller(Tom,Diana)"	Is Maria the shortest ?	yes
Navin is shorter than Kunal. Jayesh is taller than Navin. Ashok is taller than Jayesh. Jayesh is shorter than Gopal but taller than Kunal.	"taller(Jayesh,Kunal)
taller(Ashok,Jayesh)
shorter(Jayesh,Gopal)
shorter(Navin,Kunal)
taller(Jayesh,Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok but taller than Kunal. Jayesh is taller than Navin. Ashok is taller than Jayesh. Jayesh is shorter than Gopal but taller than Kunal.	"taller(Jayesh,Kunal)
shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Gopal,Kunal)
shorter(Jayesh,Gopal)
taller(Jayesh,Navin)"	Is Ashok the tallest ?	yes
Gopal is shorter than Ashok but taller than Kunal. Navin is shorter than Kunal. Ashok is taller than Jayesh. Jayesh is shorter than Gopal but taller than Kunal.	"taller(Jayesh,Kunal)
shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Gopal,Kunal)
shorter(Jayesh,Gopal)
shorter(Navin,Kunal)"	Is Navin the shortest ?	yes
