text	label	facts	split
The oil tanker A is making its way toward its course. The fishing boat C is drawing close to the left flank.	A	"port(C,A)
engine(A)
engine(C)"	train
The oil tanker G is advancing on the water. The container ship A is drawing close from the starboard side.	A	"starboard(A,G)
engine(G)
engine(A)"	train
The container ship D is navigating through the waters. It is restricted in its maneuverability. The yacht B is closing in head-on.	D	"head-on(B,D)
restricted(D)
engine(B)"	train
The yacht F is making its way toward its course. The ferry B is coming up from the port side.	F	"port(B,F)
engine(F)
engine(B)"	train
The oil tanker F is making its way toward its course. The trawler H is approaching to the left flank.	F	"port(H,F)
engine(F)
engine(H)"	train
The oil tanker G is advancing on the water. The trawler H is moving forward to the right flank.	H	"starboard(H,G)
engine(G)
engine(H)"	train
The fishing boat B is advancing on the water. The fishing boat H is coming up from the port side.	B	"port(H,B)
engine(B)
engine(H)"	train
The yacht E is progressing through the waters. It is unable to alter its course due to ongoing operations. The sailboat B is coming up from the left side. It runs on engine power.	E	"port(B,E)
restricted(E)
engine(B)"	train
The ferry D is heading toward its destination. The catamaran E is coming up to the left flank. It is sailing, not engine-driven.	E	"port(E,D)
engine(D)
sail(E)"	train
The sailboat A is heading toward its destination. It operates using engines. The container ship H is coming up from the right side.	H	"starboard(H,A)
engine(A)
engine(H)"	train
The sailboat D is progressing through the waters. It operates using engines. The yacht G is closing in from the starboard side.	G	"starboard(G,D)
engine(D)
engine(G)"	train
The trawler G is navigating through the waters. The yacht C is drawing close from the starboard side.	C	"starboard(C,G)
engine(G)
engine(C)"	train
The oil tanker A is advancing on the water. The ferry G is drawing close to the right flank.	G	"starboard(G,A)
engine(A)
engine(G)"	train
The oil tanker G is progressing through the waters. The catamaran E is coming up head-on. It is power-driven.	0	"head-on(E,G)
engine(G)
engine(E)"	train
The trawler F is advancing on the water. The trawler D is drawing close from the right side. It is unable to alter its course due to ongoing operations.	D	"starboard(D,F)
engine(F)
restricted(D)"	train
The ferry B is making its way toward its course. The fishing boat C is coming up to the right flank.	C	"starboard(C,B)
engine(B)
engine(C)"	train
The container ship F is progressing through the waters. It is restricted in its maneuverability. The container ship A is coming up to the right flank.	F	"starboard(A,F)
restricted(F)
engine(A)"	train
The fishing boat B is advancing on the water. The catamaran H is approaching to the right flank. It is maneuvering with sail power.	H	"starboard(H,B)
engine(B)
sail(H)"	train
The catamaran C is making its way toward its course. It is sailing, not engine-driven. The yacht B is moving forward to the right flank. It can not change course while conducting its activities.	B	"starboard(B,C)
sail(C)
restricted(B)"	train
The sailboat H is navigating through the waters. It is power-driven. The catamaran A is drawing close from the starboard side. It operates using engines.	A	"starboard(A,H)
engine(H)
engine(A)"	train
The fishing boat D is advancing on the water. The oil tanker G is approaching from the starboard side.	G	"starboard(G,D)
engine(D)
engine(G)"	train
The sailboat B is navigating through the waters. It is maneuvering with sail power. The fishing boat D is closing in from the starboard side.	B	"starboard(D,B)
sail(B)
engine(D)"	train
The catamaran D is progressing through the waters. It is sailing, not engine-driven. The yacht B is approaching from the port side.	D	"port(B,D)
sail(D)
engine(B)"	train
The yacht G is progressing through the waters. The container ship F is approaching from the port side.	G	"port(F,G)
engine(G)
engine(F)"	train
The oil tanker D is heading toward its destination. The fishing boat F is closing in from the starboard side.	F	"starboard(F,D)
engine(D)
engine(F)"	train
The trawler H is heading toward its destination. The oil tanker D is moving forward from the port side.	H	"port(D,H)
engine(H)
engine(D)"	train
The container ship B is heading toward its destination. The ferry E is closing in from the right side.	E	"starboard(E,B)
engine(B)
engine(E)"	train
The container ship C is progressing through the waters. The container ship E is coming up to the right flank. It can not change course while conducting its activities.	E	"starboard(E,C)
engine(C)
restricted(E)"	train
The catamaran C is heading toward its destination. It is sailing, not engine-driven. The trawler B is approaching head-on.	C	"head-on(B,C)
sail(C)
engine(B)"	train
The sailboat A is advancing on the water. It is power-driven. The catamaran F is moving forward from the starboard side. It is maneuvering with sail power.	F	"starboard(F,A)
engine(A)
sail(F)"	train
The oil tanker B is heading toward its destination. The yacht A is moving forward from the starboard side.	A	"starboard(A,B)
engine(B)
engine(A)"	train
